wetland ,Nest ID,Nest #,Exposure,Date,#eggs,#cowbird eggs,#Cwyoung,# live young,# fledged,# dead,Surv,Survive,Year,Trial,NestHeight,Success,AverageSPL,DistEdge,DistWater,DistRoad,DistRailroad,WaterDepth,,
Brant Marsh,6CS,202815,2,10/05/2012,2,0,0,0,0,0,1,2,2012,1,1.1,0,53.25,19.19,3.40,67.74,75.22,0.03,,
Brant Marsh,6CS,202815,4,14/05/2012,4,0,0,0,0,0,1,4,2012,1,1.1,0,53.25,19.19,3.40,67.74,75.22,0.03,,
Brant Marsh,6CS,202815,4,18/05/2012,4,0,0,0,0,0,1,4,2012,1,1.1,0,53.25,19.19,3.40,67.74,75.22,0.03,,
Brant Marsh,6CS,202815,2,20/05/2012,0,0,0,0,0,0,0,0,2012,1,1.1,0,53.25,19.19,3.40,67.74,75.22,0.03,,
Brant Marsh,7LM,202822,4,06/05/2012,4,0,0,0,0,0,1,4,2012,1,1.05,1,52.08,19.01,24.41,52.32,60.44,0.01,,
Brant Marsh,7LM,202822,4,10/05/2012,1,0,0,3,0,0,1,4,2012,1,1.05,1,52.08,19.01,24.41,52.32,60.44,0.01,,
Brant Marsh,7LM,202822,4,14/05/2012,0,0,0,4,0,0,1,4,2012,1,1.05,1,52.08,19.01,24.41,52.32,60.44,0.01,,
Brant Marsh,7LM,202822,4,18/05/2012,0,0,0,4,0,0,1,4,2012,1,1.05,1,52.08,19.01,24.41,52.32,60.44,0.01,,
Brant Marsh,7LM,202822,4,22/05/2012,0,0,0,3,0,0,1,3,2012,1,1.05,1,52.08,19.01,24.41,52.32,60.44,0.01,,
Brant Marsh,7LM,202822,1,23/05/2012,0,0,0,1,0,0,1,1,2012,1,1.05,1,52.08,19.01,24.41,52.32,60.44,0.01,,
Brant Marsh,7LM,202822,1,24/05/2012,0,0,0,0,0,0,1,0,2012,1,1.05,1,52.08,19.01,24.41,52.32,60.44,0.01,,
Brant Marsh,6JR,202819,4,10/05/2012,4,0,0,0,0,0,1,4,2012,1,1.3,0,51.92,10.22,17.20,65.85,45.40,0.05,,
Brant Marsh,6JR,202820,2,12/05/2012,0,0,0,0,0,0,0,0,2012,1,1.3,0,51.92,10.22,17.20,65.85,45.40,0.05,,
Brant Marsh,7JR,202820,4,10/05/2012,4,0,0,0,0,0,0,0,2012,1,1.2,0,51.67,12.80,7.51,64.66,42.95,0.04,,
Brant Marsh,14JR,202800,1.5,28/05/2012,3,0,0,0,0,0,1,3,2012,1,0.75,0,52.75,3.92,41.90,54.94,64.42,0,,
Brant Marsh,14JR,202801,1,29/05/2012,0,0,0,0,0,0,0,0,2012,1,0.75,0,52.75,3.92,41.90,54.94,64.42,0,,
Brant Marsh,16JR,202763,3,22/05/2012,3,0,0,0,0,0,1,3,2012,1,1.2,0,54.42,14.06,13.99,63.52,46.38,0.04,,
Brant Marsh,16JR,202764,1,23/05/2012,3,0,0,0,0,0,1,3,2012,1,1.2,0,54.42,14.06,13.99,63.52,46.38,0.04,,
Brant Marsh,16JR,202765,2,25/05/2012,3,0,0,0,0,0,1,3,2012,1,1.2,0,54.42,14.06,13.99,63.52,46.38,0.04,,
Brant Marsh,16JR,202766,3,28/05/2012,3,0,0,0,0,0,1,3,2012,1,1.2,0,54.42,14.06,13.99,63.52,46.38,0.04,,
Brant Marsh,16JR,202767,2,30/05/2012,3,0,0,0,0,0,1,3,2012,1,1.2,0,54.42,14.06,13.99,63.52,46.38,0.04,,
Brant Marsh,16JR,202768,5,04/06/2012,0,0,0,1,0,0,1,1,2012,1,1.2,0,54.42,14.06,13.99,63.52,46.38,0.04,,
Brant Marsh,16JR,202769,1,05/06/2012,0,0,0,0,0,0,0,0,2012,1,1.2,0,54.42,14.06,13.99,63.52,46.38,0.04,,
Brant Marsh,2AF,202799,3,10/05/2012,3,0,0,0,0,0,0,0,2012,1,1,0,57.08,2.35,7.02,20.62,120.18,0.03,,
Brant Marsh,2AF,202800,4,14/05/2012,4,0,0,0,0,0,0,0,2012,1,1,0,57.08,2.35,7.02,20.62,120.18,0.03,,
Brant Marsh,2AF,202801,2,16/05/2012,0,0,0,0,0,0,0,0,2012,1,1,0,57.08,2.35,7.02,20.62,120.18,0.03,,
Brant Marsh,18JR,202851,1,22/05/2012,1,0,0,0,0,0,1,1,2012,1,1.5,0,59.00,2.54,21.07,73.59,39.11,0.02,,
Brant Marsh,18JR,202852,1,23/05/2012,1,0,0,0,0,0,1,1,2012,1,1.5,0,59.00,2.54,21.07,73.59,39.11,0.02,,
Brant Marsh,18JR,202853,2,25/05/2012,1,0,0,0,0,0,1,1,2012,1,1.5,0,59.00,2.54,21.07,73.59,39.11,0.02,,
Brant Marsh,18JR,202854,3,28/05/2012,1,0,0,0,0,0,1,1,2012,1,1.5,0,59.00,2.54,21.07,73.59,39.11,0.02,,
Brant Marsh,18JR,202855,2,30/05/2012,3,0,0,0,0,0,1,3,2012,1,1.5,0,59.00,2.54,21.07,73.59,39.11,0.02,,
Brant Marsh,18JR,202856,5,04/05/2012,1,0,0,0,0,0,1,1,2012,1,1.5,0,59.00,2.54,21.07,73.59,39.11,0.02,,
Brant Marsh,18JR,202857,2,06/05/2012,1,0,0,0,0,0,1,1,2012,1,1.5,0,59.00,2.54,21.07,73.59,39.11,0.02,,
Brant Marsh,18JR,202858,1,07/05/2012,1,0,0,0,0,0,0,1,2012,1,1.5,0,59.00,2.54,21.07,73.59,39.11,0.02,,
Brant Marsh,3AF,202809,5,10/05/2012,5,0,0,0,0,0,1,5,2012,1,1,0,54.58,0.00,8.39,18.59,126.91,0,,
Brant Marsh,3AF,202810,3,12/05/2012,0,0,0,0,0,0,0,0,2012,1,1,0,54.58,0.00,8.39,18.59,126.91,0,,
Brant Marsh,5AF,202833,3,10/05/2012,3,0,0,0,0,0,1,0,2012,1,1,1,52.92,4.73,3.64,24.54,133.31,0,,
Brant Marsh,5AF,202834,4,14/05/2012,3,0,0,0,0,0,1,0,2012,1,1,1,52.92,4.73,3.64,24.54,133.31,0,,
Brant Marsh,5AF,202835,4,18/05/2012,0,0,0,3,0,0,1,0,2012,1,1,1,52.92,4.73,3.64,24.54,133.31,0,,
