package,year,fulltext_count,mixed_count,abstract_count
DESeq2,2015,51,19,1
DESeq2,2016,175,59,6
DESeq2,2017,315,115,8
DESeq2,2018,556,209,8
DESeq2,2019,743,267,9
DESeq2,2020,1066,396,16
DESeq2,2021,1589,638,19
DESeq2,2022,1918,710,30
DESeq2,2023,1987,647,28
DESeq2,2024,2231,722,24
DESeq2,2025,2955,959,35
edgeR,2015,97,10,0
edgeR,2016,141,20,0
edgeR,2017,202,26,0
edgeR,2018,253,59,1
edgeR,2019,341,73,1
edgeR,2020,484,109,3
edgeR,2021,630,161,6
edgeR,2022,694,183,1
edgeR,2023,632,160,2
edgeR,2024,718,190,1
edgeR,2025,818,231,6
ANCOM-BC,2015,0,0,0
ANCOM-BC,2016,0,0,0
ANCOM-BC,2017,0,0,0
ANCOM-BC,2018,0,0,0
ANCOM-BC,2019,0,0,0
ANCOM-BC,2020,3,2,1
ANCOM-BC,2021,29,23,6
ANCOM-BC,2022,138,109,10
ANCOM-BC,2023,246,184,18
ANCOM-BC,2024,319,234,19
ANCOM-BC,2025,454,345,31
ALDEx2,2015,4,2,0
ALDEx2,2016,7,6,0
ALDEx2,2017,15,13,1
ALDEx2,2018,23,17,2
ALDEx2,2019,21,15,0
ALDEx2,2020,84,60,2
ALDEx2,2021,141,109,10
ALDEx2,2022,181,134,14
ALDEx2,2023,187,128,6
ALDEx2,2024,224,162,3
ALDEx2,2025,287,220,14
corncob,2015,11,3,0
corncob,2016,18,6,1
corncob,2017,23,3,0
corncob,2018,31,10,0
corncob,2019,37,11,1
corncob,2020,62,30,2
corncob,2021,83,38,4
corncob,2022,110,50,3
corncob,2023,119,39,0
corncob,2024,87,42,1
corncob,2025,131,53,2
NBZIMM,2015,0,0,0
NBZIMM,2016,0,0,0
NBZIMM,2017,0,0,0
NBZIMM,2018,1,1,1
NBZIMM,2019,0,0,0
NBZIMM,2020,6,6,2
NBZIMM,2021,3,3,0
NBZIMM,2022,11,7,0
NBZIMM,2023,6,6,0
NBZIMM,2024,12,9,0
NBZIMM,2025,14,9,0
Maaslin2,2015,0,0,0
Maaslin2,2016,0,0,0
Maaslin2,2017,1,1,0
Maaslin2,2018,0,0,0
Maaslin2,2019,0,0,0
Maaslin2,2020,33,22,1
Maaslin2,2021,123,96,7
Maaslin2,2022,213,167,13
Maaslin2,2023,274,214,15
Maaslin2,2024,459,355,21
Maaslin2,2025,628,500,35
Maaslin3,2015,0,0,0
Maaslin3,2016,0,0,0
Maaslin3,2017,0,0,0
Maaslin3,2018,0,0,0
Maaslin3,2019,0,0,0
Maaslin3,2020,0,0,0
Maaslin3,2021,0,0,0
Maaslin3,2022,0,0,0
Maaslin3,2023,0,0,0
Maaslin3,2024,0,0,0
Maaslin3,2025,26,24,1
gllvm,2015,0,0,0
gllvm,2016,0,0,0
gllvm,2017,0,0,0
gllvm,2018,0,0,0
gllvm,2019,1,1,0
gllvm,2020,0,0,0
gllvm,2021,1,0,0
gllvm,2022,4,4,0
gllvm,2023,8,7,1
gllvm,2024,9,7,1
gllvm,2025,14,6,0
mvabund,2015,4,3,0
mvabund,2016,7,4,0
mvabund,2017,10,4,0
mvabund,2018,17,8,0
mvabund,2019,21,11,0
mvabund,2020,30,15,0
mvabund,2021,26,13,0
mvabund,2022,28,18,0
mvabund,2023,22,13,0
mvabund,2024,21,13,0
mvabund,2025,17,7,0
