expos nest_ht parastat  patsize survive
## nest data from Shaffer 2004
## extracted from https://web.archive.org/web/20130226100530/http://www.npwrc.usgs.gov/resource/birds/nestsurv/download/logexpos_sas9.sas
## read.table("shaffer_chat_nest.txt", na.strings = ".", header = TRUE, comment = "#")
1 0.8 1 small 1
3 0.8 1 small 1
6 0.8 1 small 1
3 0.8 1 small 1
2 0.8 1 small 1
3 0.8 1 small 1
2 0.8 1 small 1
1 0.9 0 large 1
1 0.9 0 large 1
2 0.9 0 large 1
1 0.9 0 large 1
1 0.9 0 large 1
1 0.9 0 large 1
1 0.9 0 large 1
5 0.9 0 large 1
1 0.9 0 large 1
1 0.9 0 large 0
1 0.6 0 small 1
2 0.6 0 small 0
2 . 1 small 1
3 . 1 small 1
3 . 1 small 1
2 . 1 small 1
2 . 1 small 1
1 . 1 small 0
1 0.3 1 small 1
1 0.3 1 small 1
2 0.3 1 small 1
2 0.3 1 small 1
4 0.3 1 small 1
2 0.3 1 small 1
1 0.3 1 small 0
1 . 0 large 1
1 . 0 large 1
1 . 0 large 1
1 1.7 1 large 1
1 1.7 1 large 1
1 1.7 1 large 1
1 0.5 1 small 1
1 0.5 1 small 1
1 0.5 1 small 1
1 0.5 1 small 1
2 0.5 1 small 1
2 0.5 1 small 1
5 0.5 1 small 1
3 0.5 1 small 1
5 0.5 1 small 1
3 0.5 1 small 1
1 0.6 1 large 1
5 0.6 1 large 1
3 0.6 1 large 1
1 0.6 1 large 1
3 0.6 1 large 1
4 0.6 1 large 1
3 0.6 1 large 1
2 0.5 0 large 1
1 0.5 0 large 1
2 0.5 0 large 1
1 0.5 0 large 1
1 0.5 0 large 1
1 0.5 0 large 1
1 0.5 0 large 1
4 0.5 0 large 1
3 0.5 0 large 0
1 0.5 1 large 1
1 0.5 1 large 1
1 0.45 1 small 1
3 0.45 1 small 1
1 0.45 1 small 1
1 0.45 1 small 1
1 0.45 1 small 1
1 0.45 1 small 1
4 0.45 1 small 1
1.5 0.45 1 small 0
4 0.5 1 large 1
4 0.5 1 large 1
1 0.5 1 large 1
1 0.5 1 large 1
4 0.5 1 large 1
6 0.5 1 large 1
1 0.5 1 large 1
1 0.5 1 large 1
1 0.5 1 large 1
6 0.7 0 small 1
1 0.7 0 small 1
1 0.7 0 small 0
2 0.7 1 large 1
3 0.7 1 large 1
1 0.7 1 large 1
2 0.7 1 large 1
1 0.7 1 large 1
1 0.7 1 large 1
4 0.61 0 large 1
2 0.61 0 large 1
2.5 0.61 0 large 0
2 1.52 1 small 1
2 1.52 1 small 1
1 1.52 1 small 1
2 1.52 1 small 1
1 1.52 1 small 0
2 0.5 1 small 1
1 0.5 1 small 1
1.5 0.5 1 small 0
4 0.55 0 large 1
4 0.55 0 large 1
4 0.55 0 large 1
1 0.55 0 large 1
1 0.55 0 large 1
2 0.55 0 large 1
1 0.55 0 large 1
1 0.55 0 large 1
0.5 0.55 0 large 0
2 0.77 0 large 1
6 0.77 0 large 1
1 0.77 0 large 1
2 0.77 0 large 1
1 0.77 0 large 1
1 0.77 0 large 1
0.5 0.77 0 large 0
1 0.82 0 large 1
2 0.82 0 large 1
3 0.82 0 large 1
2 0.82 0 large 1
2 0.82 0 large 1
1 0.82 0 large 0
1 0.45 1 small 1
1 0.45 1 small 1
1 0.45 1 small 1
3 0.45 1 small 1
1 0.45 1 small 1
1 0.45 1 small 1
1.5 0.45 1 small 0
2 0.6 1 large 1
