Model	Butterfly	Bird	Diatom	Tree	Plant	Fungi
GAM1	5,3	0,43	0,22	0,48	1,3	16
GAM2	6,9	0,65	0,26	1,3	2,5	28
GLM1	0,019	0,027	0,024	0,043	0,11	0,81
GLM2	0,87	1,1	0,17	2	4,9	11
MVABUND	0,00095	0,00094	0,00048	0,0024	0,0065	0,29
MRT1	0,017	0,042	0,0091	0,047	0,24	0,24
MRT2	0,031	0,045	0,0078	0,075	0,16	0,16
GNN	0,011	0,0099	0,09	0,021	0,023	0,023
 RF	0,34	0,64	0,8	0,69	1,8	620
 BRT	210	170	110	220	370	5100
SVM	93	50	32	84	260	6900
MARS-COMM	0,011	0,015	0,015	0,027	0,07	0,07
MARS-INT	0,1	0,014	0,012	0,028	0,071	0,071
SAM	120	170	120	1200	960	-
MISTNET	0,14	1,2	0,13	0,87	0,82	0,82
GJAM	71	8,7	15	14	59	690
HMSC1	2,5	3,8	0,79	0,98	0,97	2,5
HMSC2	15	23	28	24	54	430
HMSC3	15	32	42	32	77	540
HMSC4	87	41	56	110	150	1200
