potable_water,toxicity,location                          
36.1344537815,355.59946751,Para
42.2268907563,504.476245944,Rondonia
45.1680672269,353.165820784,Bahia
47.0588235294,216.644479574,Alagoas
55.6722689076,309.235377319,Amazonas
76.8907563025,402.575089442,Espirito Santo
78.1512605042,135.323238206,Minas Gerais   
85.9243697479,73.4087694484,Chile     
86.1344537815,189.262833846,Rio Grande do Sul
92.2268907563,299.525750894,Rio de Janeiro
98.7394957983,17.7344205009,Louisiana   
100.210084034,20.7920792079,Texas        

